0,"2,092","6,748",129K,2022-05-31 18:17:23
8792970224254088345,"1,951","2,727",33.4K,2022-05-28 18:00:00
-7071670411115621305,"8,890",29.1K,623.7K,2022-05-16 19:27:16
-2910861228804034954,"6,222",24.8K,330.7K,2022-05-12 17:54:32
-388914527668819165,"5,081",14.5K,425.6K,2022-05-09 10:32:07
157656868381840580,"2,279","4,627",69.4K,2022-05-03 17:00:01
-3340839751007291397,18.7K,94.9K,2M,2022-04-30 09:51:13
-7706722636348139004,"6,535",24.9K,345.7K,2022-04-28 20:56:55
,91.7K,230.9K,1.9M,2022-04-18 18:23:06
6216934238048586664,12.6K,78.6K,768.3K,2022-04-17 14:26:05
8884319369922793814,"4,902",13.8K,253.7K,2022-04-07 20:10:05
5709004832943396095,"6,469",22.6K,422.4K,2022-04-03 13:17:37
6976812451496354203,"5,046",19.3K,321.9K,2022-03-30 09:51:53
-225610717176510676,"1,930","4,930",72.9K,2022-03-26 09:00:02
-5728573830865242931,"3,490",14.8K,189.2K,2022-03-24 22:59:10
8572484395105454629,"4,990",19.5K,403.4K,2022-03-19 16:15:54
6425078932126474859,"6,150",23.4K,333.6K,2022-03-14 17:41:21
-4756100212593023322,"8,129",50.1K,597.3K,2022-03-13 09:58:16
1978031249923529742,"6,553",15.8K,325.1K,2022-03-01 16:56:17
-5331830063285789577,"5,950",17.3K,272.8K,2022-02-22 19:14:19
3890870294168954298,"3,934",16.2K,240K,2022-02-20 18:11:07
4973466874561360914,"8,666",40.3K,368.7K,2022-02-15 22:21:05
7619074285924244169,"4,749",15K,303.2K,2022-02-11 18:59:28
-2811794569415189054,"5,258",31.7K,416.7K,2022-02-09 16:02:29
-1845630114301306559,11.3K,40.1K,470.9K,2022-02-05 22:50:38
-6793957876856841826,"7,814",54.9K,646.6K,2022-01-30 12:20:05
-4974068915116980872,"4,236",17.8K,299.6K,2022-01-29 09:30:33
-4150072656746352718,"1,601","5,189",69.1K,2022-01-28 22:06:56
-3821207967726305560,"6,587",24.2K,528.3K,2022-01-26 14:10:09
7633944213573494237,"6,753",22K,398.9K,2022-01-25 13:44:03
2044204525375770726,"4,767",16.2K,260.3K,2022-01-19 22:38:01
8953161053824204537,"6,352",19.8K,330.5K,2022-01-17 13:59:21
-1424176971363646942,10.1K,23.2K,516.3K,2022-01-11 11:25:30
8386866759300426137,"2,275","3,043",45.3K,2022-01-02 17:55:48
-3695208976513403923,"3,300","9,098",219K,2021-12-31 12:06:13
1866482741817104027,"3,972",16.9K,223.3K,2021-12-30 22:28:41
2896802181971078477,"2,413","5,553",97.2K,2021-12-29 19:00:00
6201100124765160804,"5,351",23.8K,356.6K,2021-12-24 22:02:32
-1269679430156156862,"1,239","2,722",45.2K,2021-12-23 19:31:21
820623310772283666,26.8K,15.4K,307.7K,2021-12-20 19:25:53
-224845963913482270,"1,340","8,620",96.1K,2021-12-19 10:56:47
8395953420498343964,"1,175","4,658",60.2K,2021-12-18 10:39:17
-2643987013657387723,"4,335",19.2K,235.5K,2021-12-11 20:06:50
483488545393666994,"3,764",21.6K,303.6K,2021-12-07 16:09:03
-1287415175238478612,"2,183","4,314",68K,2021-12-06 18:00:02
5176010676818057736,"6,178",38.6K,272.7K,2021-12-03 16:05:15
9217287946923293282,"2,103",17.6K,270.7K,2021-12-03 10:58:59
-5769739748082818375,"5,808",27.6K,299K,2021-12-02 23:25:13
-2072523981765168912,"4,763","5,577",96.7K,2021-12-01 14:16:02
4511758173178616253,"5,886",18.2K,295.6K,2021-11-30 15:10:23
0,"2,319","7,823",157.3K,2022-05-31 18:17:23
8792970224254088345,"1,956","2,732",33.5K,2022-05-28 18:00:00
-7071670411115621305,"8,894",29.1K,623.8K,2022-05-16 19:27:16
-2910861228804034954,"6,222",24.8K,330.8K,2022-05-12 17:54:32
-388914527668819165,"5,081",14.5K,425.6K,2022-05-09 10:32:07
157656868381840580,"2,280","4,629",69.4K,2022-05-03 17:00:01
-3340839751007291397,18.7K,94.9K,2M,2022-04-30 09:51:13
-7706722636348139004,"6,534",24.9K,345.7K,2022-04-28 20:56:55
,91.7K,230.9K,1.9M,2022-04-18 18:23:06
6216934238048586664,12.6K,78.6K,768.3K,2022-04-17 14:26:05
8884319369922793814,"4,902",13.8K,253.7K,2022-04-07 20:10:05
5709004832943396095,"6,470",22.6K,422.4K,2022-04-03 13:17:37
6976812451496354203,"5,046",19.3K,321.9K,2022-03-30 09:51:53
-225610717176510676,"1,931","4,931",73K,2022-03-26 09:00:02
-5728573830865242931,"3,489",14.8K,189.2K,2022-03-24 22:59:10
8572484395105454629,"4,990",19.5K,403.4K,2022-03-19 16:15:54
6425078932126474859,"6,150",23.4K,333.6K,2022-03-14 17:41:21
-4756100212593023322,"8,127",50.1K,597.2K,2022-03-13 09:58:16
1978031249923529742,"6,553",15.8K,325.1K,2022-03-01 16:56:17
-5331830063285789577,"5,950",17.3K,272.8K,2022-02-22 19:14:19
3890870294168954298,"3,934",16.2K,240K,2022-02-20 18:11:07
4973466874561360914,"8,666",40.3K,368.7K,2022-02-15 22:21:05
7619074285924244169,"4,749",15K,303.2K,2022-02-11 18:59:28
-2811794569415189054,"5,259",31.7K,416.7K,2022-02-09 16:02:29
-1845630114301306559,11.3K,40.1K,470.9K,2022-02-05 22:50:38
-6793957876856841826,"7,814",54.9K,646.6K,2022-01-30 12:20:05
-4974068915116980872,"4,236",17.8K,299.6K,2022-01-29 09:30:33
-4150072656746352718,"1,601","5,189",69.1K,2022-01-28 22:06:56
-3821207967726305560,"6,587",24.2K,528.4K,2022-01-26 14:10:09
7633944213573494237,"6,753",22K,398.9K,2022-01-25 13:44:03
2044204525375770726,"4,767",16.2K,260.3K,2022-01-19 22:38:01
8953161053824204537,"6,352",19.8K,330.4K,2022-01-17 13:59:21
-1424176971363646942,10.1K,23.2K,516.3K,2022-01-11 11:25:30
8386866759300426137,"2,275","3,043",45.3K,2022-01-02 17:55:48
-3695208976513403923,"3,300","9,099",219K,2021-12-31 12:06:13
1866482741817104027,"3,972",16.9K,223.3K,2021-12-30 22:28:41
2896802181971078477,"2,412","5,553",97.2K,2021-12-29 19:00:00
6201100124765160804,"5,351",23.8K,356.6K,2021-12-24 22:02:32
-1269679430156156862,"1,239","2,722",45.2K,2021-12-23 19:31:21
820623310772283666,26.8K,15.4K,307.6K,2021-12-20 19:25:53
-224845963913482270,"1,340","8,620",96.1K,2021-12-19 10:56:47
8395953420498343964,"1,175","4,658",60.2K,2021-12-18 10:39:17
-2643987013657387723,"4,335",19.2K,235.5K,2021-12-11 20:06:50
483488545393666994,"3,764",21.6K,303.6K,2021-12-07 16:09:03
-1287415175238478612,"2,183","4,314",68K,2021-12-06 18:00:02
5176010676818057736,"6,178",38.6K,272.7K,2021-12-03 16:05:15
9217287946923293282,"2,103",17.6K,270.7K,2021-12-03 10:58:59
-5769739748082818375,"5,808",27.6K,299K,2021-12-02 23:25:13
-2072523981765168912,"4,763","5,577",96.7K,2021-12-01 14:16:02
4511758173178616253,"5,886",18.2K,295.6K,2021-11-30 15:10:23
